x_RecommendationDescription,x_RecommendationSolution,x_RecommendationImpact,x_RecommendationCategory,x_RecommendationProvider,x_RecommendationTypeId,x_RecommendationControl,x_RecommendationMaturityLevel,x_ResourceType,x_RecommendationId,recommendationSource,SourceFile,description,acorlGuid,recommendationTypeId,recommendationControl,recommendationImpact,recommendationResourceType,recommendationMetadataState,remediationAction,potentialBenefits,pgVerified,publishedToLearn,automationAvailable,tags,learnMoreLink,SourceType,x_RecommendationDetails,x_ResourceGroupName,ResourceCategory,x_RecommendationDate
Review Reservation Utilization Regularly,"Monitor RI utilization to ensure commitments are fully used. Adjust reservations if usage patterns change significantly. Leverage reservation utilization alerts
",High,Cost,Microsoft.FinOpsToolkit,,RateOptimization/OptimizingUsage,Preview,Microsoft/CustomCost,c8be9bc8-9a6a-4e66-9a61-c11d1b54c189,Manual,content/azure-resources/CustomCost/recommendations.yaml,Review Reservation Utilization Regularly,c8be9bc8-9a6a-4e66-9a61-c11d1b54c189,,RateOptimization/OptimizingUsage,High,Microsoft/CustomCost,Active,"Monitor RI utilization to ensure commitments are fully used. Adjust reservations if usage patterns change significantly. Leverage reservation utilization alerts
",Cost optimization,False,False,False,,"[{'name': 'Reservation utilization alerts', 'url': 'https://learn.microsoft.com/en-us/azure/cost-management-billing/costs/reservation-utilization-alerts'}]",YAML,,,,
Set Budgets and Alerts,"Use Azure Cost Management + Billing to set budgets at subscription, resource group, or resource levels and set up alerts to notify stakeholders when usage approaches budget limits.
",Low,Cost,Microsoft.FinOpsToolkit,,Governance/BudgetCostControl,Preview,Microsoft/CustomCost,c0e099e7-b4fa-4eeb-8d2d-1ba2ace8a628,Manual,content/azure-resources/CustomCost/recommendations.yaml,Set Budgets and Alerts,c0e099e7-b4fa-4eeb-8d2d-1ba2ace8a628,,Governance/BudgetCostControl,Low,Microsoft/CustomCost,Active,"Use Azure Cost Management + Billing to set budgets at subscription, resource group, or resource levels and set up alerts to notify stakeholders when usage approaches budget limits.
",,False,False,False,,"[{'name': 'Reservation utilization alerts', 'url': 'https://learn.microsoft.com/en-us/azure/cost-management-billing/costs/reservation-utilization-alerts'}]",YAML,,,,
Automate Resource Shutdown and Startup,"Schedule non-critical VMs or services to shut down after hours or during low-use periods. Use Azure Automation or Azure Logic Apps to automatically manage resource shutdowns.
",Low,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft/CustomCost,039f835e-ce7a-495a-bea6-67bffb7a03ae,Manual,content/azure-resources/CustomCost/recommendations.yaml,Automate Resource Shutdown and Startup,039f835e-ce7a-495a-bea6-67bffb7a03ae,,UsageOptimization/OptimizeResources,Low,Microsoft/CustomCost,Active,"Schedule non-critical VMs or services to shut down after hours or during low-use periods. Use Azure Automation or Azure Logic Apps to automatically manage resource shutdowns.
",,False,False,False,,"[{'name': 'Choose the Automation services in Azure', 'url': 'https://learn.microsoft.com/en-us/azure/automation/automation-services'}]",YAML,,,,
Leverage Azure DevTest Labs for Development Environments,"Use Azure DevTest Labs to automate the provisioning and de-provisioning of resources for development environments, reducing idle time and costs in non-production environments.
",Low,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft/CustomCost,43f8238b-0404-47a4-b82c-4573571dde02,Manual,content/azure-resources/CustomCost/recommendations.yaml,Leverage Azure DevTest Labs for Development Environments,43f8238b-0404-47a4-b82c-4573571dde02,,UsageOptimization/OptimizeResources,Low,Microsoft/CustomCost,Active,"Use Azure DevTest Labs to automate the provisioning and de-provisioning of resources for development environments, reducing idle time and costs in non-production environments.
",,False,False,False,,"[{'name': 'Azure DevTest Labs overview', 'url': 'https://learn.microsoft.com/en-us/azure/devtest-labs/devtest-lab-overview'}]",YAML,,,,
Establish FinOps Practices for Cost Visibility,"Create a cross-functional FinOps team involving finance, engineering, and management to continuously review and optimize costs, ensure accountability, and enforce cost-saving practices.
",Low,Cost,Microsoft.FinOpsToolkit,,FinOps/CostVisibility,Preview,Microsoft/CustomCost,45fc8c4c-1f94-4fb3-b9a3-41d565f4aac3,Manual,content/azure-resources/CustomCost/recommendations.yaml,Establish FinOps Practices for Cost Visibility,45fc8c4c-1f94-4fb3-b9a3-41d565f4aac3,,FinOps/CostVisibility,Low,Microsoft/CustomCost,Active,"Create a cross-functional FinOps team involving finance, engineering, and management to continuously review and optimize costs, ensure accountability, and enforce cost-saving practices.
",Microsoft/CustomCost,False,False,False,,"[{'name': 'FinOps overview', 'url': 'https://learn.microsoft.com/en-us/cloud-computing/finops/overview'}]",YAML,,,,
Proactively perform cost reviews (Regularly Review Billing Reports and Cost Management Insights),"Use Azure Cost Management + Billing to generate and review cost reports. Look for anomalies, unused resources, and opportunities to optimize.
",Low,Cost,Microsoft.FinOpsToolkit,,CostManagement/CostMonitoring,Preview,Microsoft/CustomCost,93ed1fd5-8ab4-4afd-8315-aab0093db580,Manual,content/azure-resources/CustomCost/recommendations.yaml,Proactively perform cost reviews (Regularly Review Billing Reports and Cost Management Insights),93ed1fd5-8ab4-4afd-8315-aab0093db580,,CostManagement/CostMonitoring,Low,Microsoft/CustomCost,Active,"Use Azure Cost Management + Billing to generate and review cost reports. Look for anomalies, unused resources, and opportunities to optimize.
",Microsoft/CustomCost,False,False,False,,[{'name': 'Get started with Cost Management reporting'}],YAML,,,,
Select the appropriate AKS Tier,"Use the Free Tier for development and testing to avoid control plane costs, paying only for VMs, storage, and networking. Choose the Standard Tier for production workloads needing scalability, performance, and uptime SLA support. For mission-critical workloads, opt for the Premium Tier, which offers high availability, a financially backed SLA, and extended Kubernetes version support.
",Medium,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.ContainerService/managedClusters,4377cee6-dbbc-448a-9c7a-74ec87116719,Manual,content/azure-resources/ContainerService/managedClusters/recommendations.yaml,Select the appropriate AKS Tier,4377cee6-dbbc-448a-9c7a-74ec87116719,,UsageOptimization/OptimizeResources,Medium,Microsoft.ContainerService/managedClusters,Active,"Use the Free Tier for development and testing to avoid control plane costs, paying only for VMs, storage, and networking. Choose the Standard Tier for production workloads needing scalability, performance, and uptime SLA support. For mission-critical workloads, opt for the Premium Tier, which offers high availability, a financially backed SLA, and extended Kubernetes version support.
",Optimize existing resources,False,False,False,,"[{'name': 'Free, Standard, and Premium pricing tiers for Azure Kubernetes Service (AKS) cluster management', 'url': 'https://learn.microsoft.com/en-us/azure/aks/free-standard-pricing-tiers'}]",YAML,,,,
Increase Cost Visibility with Microsoft Cost Management,"Use Microsoft Cost Management to track spending, set budgets, and forecast costs. Enable the AKS Cost Analysis add-on for for granular cluster cost breakdown by Kubernetes constructs along with Azure Compute, Network, and Storage categories.
",Medium,Cost,Microsoft.FinOpsToolkit,,Governance/CostVisibility,Preview,Microsoft.ContainerService/managedClusters,0ff25323-819f-466f-80b2-4beeec398dd4,Manual,content/azure-resources/ContainerService/managedClusters/recommendations.yaml,Increase Cost Visibility with Microsoft Cost Management,0ff25323-819f-466f-80b2-4beeec398dd4,,Governance/CostVisibility,Medium,Microsoft.ContainerService/managedClusters,Active,"Use Microsoft Cost Management to track spending, set budgets, and forecast costs. Enable the AKS Cost Analysis add-on for for granular cluster cost breakdown by Kubernetes constructs along with Azure Compute, Network, and Storage categories.
",Optimize existing resources,False,False,False,,"[{'name': 'Azure Kubernetes Service (AKS) cost analysis', 'url': 'https://learn.microsoft.com/en-us/azure/aks/cost-analysis'}]",YAML,,,,
Use cluster start/stop feature,"Reduce costs by stopping unused dev/test clusters with the cluster start/stop feature. It shuts down node pools while preserving cluster state, eliminating unnecessary compute charges.
",Medium,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.ContainerService/managedClusters,38ca350f-786b-4a30-9bd2-8f716de4ccff,Manual,content/azure-resources/ContainerService/managedClusters/recommendations.yaml,Use cluster start/stop feature,38ca350f-786b-4a30-9bd2-8f716de4ccff,,UsageOptimization/OptimizeResources,Medium,Microsoft.ContainerService/managedClusters,Active,"Reduce costs by stopping unused dev/test clusters with the cluster start/stop feature. It shuts down node pools while preserving cluster state, eliminating unnecessary compute charges.
",Optimize existing resources,False,False,False,,"[{'name': 'Stop and start an Azure Kubernetes Service (AKS) cluster', 'url': 'https://learn.microsoft.com/en-us/azure/aks/start-stop-cluster'}]",YAML,,,,
Use Spot VMs,"Deploy Spot VMs in AKS to save up to 90% on compute costs by using Azure’s unused capacity. Ideal for dev/test, batch jobs, and workloads that can tolerate interruptions, but note that Azure may reclaim capacity at any time.
",Low,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.ContainerService/managedClusters,c4ee932c-d5e5-4759-a275-7c333086f9bd,Manual,content/azure-resources/ContainerService/managedClusters/recommendations.yaml,Use Spot VMs,c4ee932c-d5e5-4759-a275-7c333086f9bd,,UsageOptimization/OptimizeResources,Low,Microsoft.ContainerService/managedClusters,Active,"Deploy Spot VMs in AKS to save up to 90% on compute costs by using Azure’s unused capacity. Ideal for dev/test, batch jobs, and workloads that can tolerate interruptions, but note that Azure may reclaim capacity at any time.
",Optimize existing resources,False,False,False,,"[{'name': 'Use Azure Spot Virtual Machines', 'url': 'https://learn.microsoft.com/en-us/azure/virtual-machines/spot-vms'}, {'name': 'Add an Azure Spot node pool to an Azure Kubernetes Service (AKS) cluster', 'url': 'https://learn.microsoft.com/en-us/azure/aks/spot-node-pool'}]",YAML,,,,
Use cluster preset configurations,"Simplify AKS setup by using cluster preset configurations in the Azure portal. Choose Dev/Test for development and testing, or Production Economy for cost-conscious production workloads that can handle interruptions. These presets provide optimized, adjustable settings for VM SKUs, regions, and node counts to balance performance and cost.
",Low,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.ContainerService/managedClusters,5cba0ce3-0860-405e-a386-e1a948f30795,Manual,content/azure-resources/ContainerService/managedClusters/recommendations.yaml,Use cluster preset configurations,5cba0ce3-0860-405e-a386-e1a948f30795,,UsageOptimization/OptimizeResources,Low,Microsoft.ContainerService/managedClusters,Active,"Simplify AKS setup by using cluster preset configurations in the Azure portal. Choose Dev/Test for development and testing, or Production Economy for cost-conscious production workloads that can handle interruptions. These presets provide optimized, adjustable settings for VM SKUs, regions, and node counts to balance performance and cost.
",Optimize existing resources,False,False,False,,"[{'name': 'Cluster configuration presets in the Azure portal', 'url': 'https://learn.microsoft.com/en-us/azure/aks/quotas-skus-regions#cluster-configuration-presets-in-the-azure-portal'}]",YAML,,,,
Consider multitenancy,"Reduce management overhead and improve resource utilization by running multitenant AKS clusters. Use Kubernetes Namespaces for logical isolation, allowing teams or business units to share infrastructure while maintaining separation. This approach increases pod density and optimizes costs.
",Medium,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.ContainerService/managedClusters,df717616-7c47-4e6d-ab5b-28b59a6164c8,Manual,content/azure-resources/ContainerService/managedClusters/recommendations.yaml,Consider multitenancy,df717616-7c47-4e6d-ab5b-28b59a6164c8,,UsageOptimization/OptimizeResources,Medium,Microsoft.ContainerService/managedClusters,Active,"Reduce management overhead and improve resource utilization by running multitenant AKS clusters. Use Kubernetes Namespaces for logical isolation, allowing teams or business units to share infrastructure while maintaining separation. This approach increases pod density and optimizes costs.
",Optimize existing resources,False,False,False,,"[{'name': 'Azure Kubernetes Service (AKS) considerations for multitenancy', 'url': 'https://learn.microsoft.com/en-us/azure/architecture/guide/multitenant/service/aks'}]",YAML,,,,
Enable application autoscaling,"Improve efficiency by enabling Vertical Pod Autoscaler (VPA) to adjust CPU and memory requests based on usage and Horizontal Pod Autoscaler (HPA) to scale pod replicas based on demand. Avoid using both for the same metrics to prevent conflicts. For event-driven workloads, use Kubernetes Event-driven Autoscaler (KEDA) to scale based on triggers like HTTP traffic or message queue length.  
",Medium,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.ContainerService/managedClusters,8e3b5526-652d-4390-b89f-386f38e26044,Manual,content/azure-resources/ContainerService/managedClusters/recommendations.yaml,Enable application autoscaling,8e3b5526-652d-4390-b89f-386f38e26044,,UsageOptimization/OptimizeResources,Medium,Microsoft.ContainerService/managedClusters,Active,"Improve efficiency by enabling Vertical Pod Autoscaler (VPA) to adjust CPU and memory requests based on usage and Horizontal Pod Autoscaler (HPA) to scale pod replicas based on demand. Avoid using both for the same metrics to prevent conflicts. For event-driven workloads, use Kubernetes Event-driven Autoscaler (KEDA) to scale based on triggers like HTTP traffic or message queue length.  
",Optimize existing resources,False,False,False,,"[{'name': 'Vertical pod autoscaling', 'url': 'https://learn.microsoft.com/en-us/azure/aks/vertical-pod-autoscaler'}, {'name': 'Horizontal pod autoscaler', 'url': 'https://learn.microsoft.com/en-us/azure/aks/concepts-scale#horizontal-pod-autoscaler'}, {'name': 'Simplified application autoscaling with Kubernetes Event-driven Autoscaling (KEDA) add-on', 'url': 'https://learn.microsoft.com/en-us/azure/aks/keda-about'}]",YAML,,,,
Enable infrastructure autoscaling,"Use Cluster Autoscaler to automatically adjust node count based on workload demand, scaling up when resources are needed and down when nodes are idle. Enable Node Autoprovisioning (NAP) to simplify VM SKU selection, optimizing node pools for cost and performance without manual configuration.
",Medium,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.ContainerService/managedClusters,7a91559e-1baf-4ebd-a4a0-51ddd0242631,Manual,content/azure-resources/ContainerService/managedClusters/recommendations.yaml,Enable infrastructure autoscaling,7a91559e-1baf-4ebd-a4a0-51ddd0242631,,UsageOptimization/OptimizeResources,Medium,Microsoft.ContainerService/managedClusters,Active,"Use Cluster Autoscaler to automatically adjust node count based on workload demand, scaling up when resources are needed and down when nodes are idle. Enable Node Autoprovisioning (NAP) to simplify VM SKU selection, optimizing node pools for cost and performance without manual configuration.
",Optimize existing resources,False,False,False,,"[{'name': 'Cluster autoscaler', 'url': 'https://learn.microsoft.com/en-us/azure/aks/cluster-autoscaler-overview'}, {'name': 'Node autoprovisioning', 'url': 'https://learn.microsoft.com/en-us/azure/aks/node-autoprovision'}]",YAML,,,,
Optimize AKS Control Plane Logging,"Enable diagnostic settings in Azure Monitor, but disable kube-audit when not required. Use kube-audit-admin for fewer events and configure AKSAudit logs as basic logs to reduce costs.
",Medium,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.ContainerService/managedClusters,17f0aa27-e655-4b45-b6ea-11eb662b654d,Manual,content/azure-resources/ContainerService/managedClusters/recommendations.yaml,Optimize AKS Control Plane Logging,17f0aa27-e655-4b45-b6ea-11eb662b654d,,UsageOptimization/OptimizeResources,Medium,Microsoft.ContainerService/managedClusters,Active,"Enable diagnostic settings in Azure Monitor, but disable kube-audit when not required. Use kube-audit-admin for fewer events and configure AKSAudit logs as basic logs to reduce costs.
",Optimize existing resources,False,False,False,,"[{'name': 'AKS control plane/resource logs', 'url': 'https://learn.microsoft.com/en-us/azure/aks/monitor-aks#aks-control-planeresource-logs'}, {'name': 'Collect control plane logs for AKS clusters', 'url': 'https://learn.microsoft.com/en-us/azure/azure-monitor/containers/monitor-kubernetes#collect-control-plane-logs-for-aks-clusters'}]",YAML,,,,
Optimize AKS Data Plane Logging,"Use Container Insights to monitor and troubleshoot AKS workloads while optimizing costs. Customize data collection settings via Azure Monitor Data Collection Rules (DCR) to control log ingestion. Enable only necessary tables, adjust collection intervals, and exclude unneeded namespaces. For metrics, use Azure Monitor managed Prometheus and Azure Managed Grafana for visualization instead of collecting all logs.
",Medium,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.ContainerService/managedClusters,16b8a453-dd44-4856-a929-7e2c47d39c45,Manual,content/azure-resources/ContainerService/managedClusters/recommendations.yaml,Optimize AKS Data Plane Logging,16b8a453-dd44-4856-a929-7e2c47d39c45,,UsageOptimization/OptimizeResources,Medium,Microsoft.ContainerService/managedClusters,Active,"Use Container Insights to monitor and troubleshoot AKS workloads while optimizing costs. Customize data collection settings via Azure Monitor Data Collection Rules (DCR) to control log ingestion. Enable only necessary tables, adjust collection intervals, and exclude unneeded namespaces. For metrics, use Azure Monitor managed Prometheus and Azure Managed Grafana for visualization instead of collecting all logs.
",Optimize existing resources,False,False,False,,"[{'name': 'AKS data plane/Container Insights logs', 'url': 'https://learn.microsoft.com/en-us/azure/aks/monitor-aks#aks-control-planeresource-logs'}]",YAML,,,,
Choose the appropriate storage type,"Understand the needs of your application to pick the right storage. Use high performance, SSD-backed storage for production workloads. Plan for network-based storage when you need multiple concurrent connections.
",Medium,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.ContainerService/managedClusters,845d0c24-a085-4aee-a29c-7e9ae6b469b0,Manual,content/azure-resources/ContainerService/managedClusters/recommendations.yaml,Choose the appropriate storage type,845d0c24-a085-4aee-a29c-7e9ae6b469b0,,UsageOptimization/OptimizeResources,Medium,Microsoft.ContainerService/managedClusters,Active,"Understand the needs of your application to pick the right storage. Use high performance, SSD-backed storage for production workloads. Plan for network-based storage when you need multiple concurrent connections.
",Optimize existing resources,False,False,False,,"[{'name': 'Choose the appropriate storage type', 'url': 'https://learn.microsoft.com/en-us/azure/aks/operator-best-practices-storage#choose-the-appropriate-storage-type'}]",YAML,,,,
Size the nodes for storage needs,"Each node size supports a maximum number of disks. Different node sizes also provide different amounts of local storage and network bandwidth. Plan appropriately for your application demands to deploy the right size of nodes.  potentialBenefits: Optimize existing resources
",Medium,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.ContainerService/managedClusters,a4d40407-1b36-4c0c-b2f5-76c06f9e4951,Manual,content/azure-resources/ContainerService/managedClusters/recommendations.yaml,Size the nodes for storage needs,a4d40407-1b36-4c0c-b2f5-76c06f9e4951,,UsageOptimization/OptimizeResources,Medium,Microsoft.ContainerService/managedClusters,Active,"Each node size supports a maximum number of disks. Different node sizes also provide different amounts of local storage and network bandwidth. Plan appropriately for your application demands to deploy the right size of nodes.  potentialBenefits: Optimize existing resources
",Optimize existing resources,False,False,False,,"[{'name': 'Size the nodes for storage needs', 'url': 'https://learn.microsoft.com/en-us/azure/aks/operator-best-practices-storage#size-the-nodes-for-storage-needs'}]",YAML,,,,
